step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
12,0.500020454664935,5.00077526954569,200.132913838276,2.99840958564535,3.6496562362573,0.143089911579604,0.0310403670619239,3.59289754424254,3.73598745582214,1.65775840450522e-05,0.000111047855255286,1.64728925523099e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
13,0.500400203278626,5.00598135792181,199.935783003688,3.00643744401331,3.64958408388991,0.14291980043124,0.031003981143062,3.59286861724997,3.73578841768121,-5.55747833472786e-05,-5.90632931087853e-05,-1.99130263096592e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
14,0.500522659100747,4.99314086828343,200.419509276531,3.00116314504607,3.64985742998107,0.143388748761277,0.0310768769499259,3.59311437577963,3.7365031245409,0.000217771307815084,0.00040988503692807,5.29827805542983e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
15,0.49959865740905,4.99774492026689,199.808318568874,2.99199318012108,3.64959526803658,0.142794201210614,0.0310122942773911,3.59282518141968,3.73561938263029,-4.4390636673608e-05,-0.000184662513734946,-1.15998919804905e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
16,0.499573324984865,4.9962062407074,199.852683691208,3.00334411186654,3.64962708528713,0.142844368864369,0.0310068051911418,3.59283571461697,3.73568008348134,-1.25733861309207e-05,-0.000134494859980627,-1.70889782298532e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
17,0.500280351323326,4.99826251105506,200.019595600198,2.99745113119284,3.64968912529325,0.143017377772207,0.0310301788641704,3.59295732330445,3.73597470107666,4.94666199895022e-05,3.85140478580404e-05,6.28469479882834e-06,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
18,0.499643559819559,5.0040236164239,200.274171539684,3.00222306804727,3.64961031223348,0.14317780578955,0.0310501560422237,3.59281059845147,3.73598840424102,-2.93464397751464e-05,0.000198942065200658,2.62618728520438e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
19,0.498868542015962,4.99743157301562,200.195525141412,3.00281870336405,3.6496175366853,0.143096018937817,0.0310466073006008,3.59274609030183,3.73584210923965,-2.21219879579237e-05,0.000117155213467335,2.27131312291913e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
20,0.500179347241304,4.99873333039016,199.602105491629,3.00503454857159,3.64959664305503,0.142650385786308,0.0309732148981195,3.5928749290594,3.73552531484571,-4.30156182287256e-05,-0.000328477938040805,-5.06792712520708e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
21,0.499677278298622,5.00390938231069,199.770626402723,2.99789735252625,3.64951517978839,0.14274048019519,0.0309962277419912,3.59275630888454,3.73549678907973,-0.000124478884867329,-0.000238383529159059,-2.76664273804288e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
