step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
23,0.499974884735094,5.00150691589436,199.979907788075,3.00150691589436,3.64961424502199,0.142953842993288,0.0310186534673351,3.59285839262159,3.73581223561488,-2.54136512651826e-05,-2.50207310612538e-05,-5.24070203651583e-06,0.000334870198747117,27,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
24,0.499974879711539,5.00150721730768,199.979903769231,3.00150721730768,3.64961423993915,0.14295383798507,0.031018652419558,3.59285838745094,3.73581222543601,-2.5418734103333e-05,-2.50257392790942e-05,-5.24174981361009e-06,0.00033493717948474,26,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
25,0.499974874686978,5.00150751878129,199.979899749583,3.00150751878129,3.64961423485537,0.142953832976472,0.0310186513714775,3.59285838227907,3.73581221525554,-2.54238178878374e-05,-2.50307478775191e-05,-5.24279789409707e-06,0.000335004173619979,25,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
26,0.499974869661413,5.0015078203152,199.979895729131,3.0015078203152,3.64961422977047,0.142953827967167,0.0310186503233226,3.59285837710635,3.73581220507352,-2.5428902787894e-05,-2.503575718249e-05,-5.24384604898634e-06,0.000335071181154944,24,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
27,0.499974864634843,5.00150812190942,199.979891707874,3.00150812190942,3.64961422468458,0.142953822956246,0.0310186492748988,3.59285837193281,3.73581219488905,-2.54339886773813e-05,-2.50407681030573e-05,-5.24489447279591e-06,0.000335138202093521,23,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
28,0.499974859607267,5.00150842356397,199.979887685814,3.00150842356397,3.64961421959772,0.14295381794475,0.0310186482262738,3.59285836675759,3.73581218470234,-2.54390755354272e-05,-2.50457795996084e-05,-5.24594309783341e-06,0.00033520523643682,22,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
29,0.499974854578686,5.00150872527885,199.979883662949,3.00150872527885,3.6496142145098,0.142953812931836,0.031018647177416,3.59285836158205,3.73581217451389,-2.54441634601754e-05,-2.50507925132482e-05,-5.24699195560141e-06,0.000335272284188504,21,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
30,0.499974849549099,5.00150902705408,199.979879639279,3.00150902705408,3.64961420942083,0.142953807918302,0.0310186461283945,3.59285835640507,3.73581216432337,-2.54492524294214e-05,-2.50558060472805e-05,-5.2480409771169e-06,0.000335339345351349,20,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
31,0.499974844518505,5.00150932888967,199.979875614804,3.00150932888967,3.64961420433094,0.142953802903909,0.0310186450791154,3.59285835122704,3.73581215413095,-2.54543423152676e-05,-2.50608204406255e-05,-5.24909025619372e-06,0.000335406419927575,19,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
32,0.499974839486906,5.00150963078564,199.979871589525,3.00150963078564,3.64961419923999,0.142953797888714,0.0310186440296378,3.59285834604781,3.73581214393653,-2.54594332704805e-05,-2.50658356355515e-05,-5.25013973380964e-06,0.000335473507919959,18,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
33,0.4999748344543,5.00150993274199,199.97986756344,3.00150993274199,3.64961419414802,0.142953792871465,0.031018642979955,3.59285834086806,3.73581213373953,-2.54645252377728e-05,-2.50708528843901e-05,-5.25118941661906e-06,0.000335540609331497,17,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
34,0.499974829420688,5.00151023475874,199.97986353655,3.00151023475874,3.64961418905499,0.142953787853257,0.0310186419300675,3.59285833568704,3.73581212354029,-2.54696182677705e-05,-2.50758710924615e-05,-5.25223930408075e-06,0.000335607724165077,16,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
35,0.499974824386068,5.0015105368359,199.979859508855,3.0015105368359,3.64961418396096,0.142953782835256,0.0310186408800547,3.59285833050459,3.73581211333985,-2.5474712302298e-05,-2.50808890931431e-05,-5.25328931689009e-06,0.000335674852422474,15,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
36,0.499974819350442,5.00151083897348,199.979855480354,3.00151083897348,3.64961417886592,0.14295377781588,0.0310186398296701,3.5928583253214,3.73581210313728,-2.54798073338058e-05,-2.50859084696131e-05,-5.25433970152353e-06,0.000335741994106686,14,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
37,0.499974814313808,5.00151114117149,199.979851451047,3.00151114117149,3.6496141737699,0.142953772794464,0.0310186387791795,3.59285832013775,3.73581209293222,-2.54849033565208e-05,-2.50909298848967e-05,-5.25539019208612e-06,0.000335809149220601,13,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
38,0.499974809276167,5.00151144342995,199.979847420934,3.00151144342995,3.64961416867285,0.142953767772786,0.0310186377284383,3.59285831495235,3.73581208272514,-2.54900004121872e-05,-2.50959515635252e-05,-5.25644093334054e-06,0.000335876317767436,12,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
39,0.499974804237519,5.00151174574887,199.979843390015,3.00151174574887,3.64961416357474,0.142953762750363,0.0310186366774289,3.59285830976601,3.73581207251638,-2.54950985172364e-05,-2.51009739860031e-05,-5.25749194269995e-06,0.000335943499748748,11,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
40,0.499974799197862,5.00151204812826,199.97983935829,3.00151204812826,3.64961415847564,0.142953757727062,0.0310186356263045,3.59285830457882,3.73581206230589,-2.55001976201541e-05,-2.51059972868894e-05,-5.25854306706805e-06,0.000336010695167865,10,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
41,0.499974794157198,5.00151235056812,199.979835325758,3.00151235056812,3.64961415337545,0.142953752701696,0.0310186345749403,3.59285829939069,3.73581205209239,-2.55052978097581e-05,-2.51110226536788e-05,-5.25959443127208e-06,0.000336077904027565,9,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
42,0.499974789115525,5.00151265306849,199.97983129242,3.00151265306849,3.64961414827427,0.142953747676123,0.0310186335233643,3.59285829420107,3.73581204187719,-2.55103989852401e-05,-2.51160482260815e-05,-5.26064600728932e-06,0.000336145126330401,8,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
43,0.499974784072844,5.00151295562936,199.979827258275,3.00151295562936,3.64961414317212,0.142953742649172,0.0310186324715549,3.59285828901103,3.7358120316602,-2.55155011386066e-05,-2.51210751769371e-05,-5.26169781667543e-06,0.000336212362079147,7,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
44,0.499974779029154,5.00151325825074,199.979823223323,3.00151325825074,3.64961413806896,0.142953737622055,0.0310186314196156,3.59285828381913,3.73581202144118,-2.55206042987233e-05,-2.51261022943261e-05,-5.2627497560305e-06,0.00033627961127658,6,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
45,0.499974773984456,5.00151356093266,199.979819187565,3.00151356093266,3.64961413296473,0.142953732593547,0.0310186303674848,3.59285827862656,3.73581201122011,-2.55257085237659e-05,-2.51311308026025e-05,-5.26380188685394e-06,0.000336346873924365,5,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
46,0.499974768938748,5.00151386367512,199.979815150998,3.00151386367512,3.64961412785953,0.142953727563472,0.0310186293150323,3.59285827343315,3.73581200099662,-2.55308137289134e-05,-2.51361608771816e-05,-5.26485433932633e-06,0.000336414150027164,4,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
47,0.499974763892031,5.00151416647813,199.979811113625,3.00151416647814,3.64961412275325,0.14295372253242,0.0310186282623406,3.592858268239,3.73581199077142,-2.5535920009645e-05,-2.51411919296451e-05,-5.26590703103791e-06,0.000336481439585756,3,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
48,0.499974758844305,5.00151446934172,199.979807075444,3.00151446934172,3.64961411764597,0.142953717501343,0.0310186272095118,3.59285826304306,3.7358119805444,-2.55410272851364e-05,-2.51462230065336e-05,-5.26695985986203e-06,0.000336548742603804,2,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
49,0.499974753795569,5.00151477226588,199.979803036455,3.00151477226588,3.64961411253768,0.142953712468201,0.0310186261564969,3.59285825784678,3.73581197031498,-2.5546135577148e-05,-2.51512561479927e-05,-5.26801287475953e-06,0.000336616059083195,1,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
50,0.499974748745823,5.00151507525063,129.986869347828,3.00151507525063,3.64582403178584,0.0911294118511501,0.0235503800447992,3.60733553357863,3.69846494542978,-0.00381562688741699,-0.0518494518731991,-0.00747351412457239,1,0,1,failed,abrupt_C_drop,1,3.64963965867326,0.142978863724349,0.0310238941693716
51,0.499974743695067,5.00151537829598,129.986865307223,3.00151537829598,3.64582402812544,0.0911294133048304,0.02355037977925,3.60733552840541,3.69846494171024,-0.0038156305478223,-0.0518494504195188,-0.00747351439012157,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
